row_num,ocr_text,decision,reason,original_assessment,failure_pattern,pathway_group
95,KRISHNA PHARMA,1,structural_garbage,CANDIDATE FOR 1,PHARMA_COMPANY_NAME,FALLBACK:AMBIGUOUS_NO_BRAND
719,CURENAL 4T,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
832,NICOACE PLUS 10T,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
887,SAV HF100 10T,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
1109,Totals: 464937.00 --,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
1422,FDC BEDSEET,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
1425,MILTON WATER JAR,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
1426,MILTONHOTPOT,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
1431,STEEL GLASSSET,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
1749,ESPIN,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:VERY_SHORT
3368,NUCARE,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
3821,VONADAY600/300/3001X,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
3838,GALACTGRANULESE1X400 G,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
3887,SYLATE 500 NEW 1X10TAB,MAYBE_PRODUCT,default_no_evidence,CANDIDATE FOR 1,INVALIDATED_NO_PHARMA,FALLBACK:AMBIGUOUS_NO_BRAND
4495,Totals 175972.00 287469.00 152052.00 427.49,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
4519,Totals 175972.00 287469.00 152052.00 427.49,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
4593,Totals 71828.00 157995.00 123529.00 24815.77,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
4825,HAJI ENTERPRISES,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
4864,HAJI ENTERPRISES,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
4908,HAJI ENTERPRISES,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
4952,HAJI ENTERPRISES,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
4996,HAJI ENTERPRISES,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
5133,Totals 24865.00 65337.00 17381.11,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
5243,DAPAGZAM10/1000 10,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
5638,ZOLINEG 1MIU INJECTION 1MIU,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
6519,MAHESH PHARMA,1,structural_garbage,CANDIDATE FOR 1,PHARMA_COMPANY_NAME,FALLBACK:AMBIGUOUS_NO_BRAND
6679,DYDROFEMTAB,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
6680,EMDYDROTAB,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
6683,ENHEMO1000MGINJECTION,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
6684,ENHEMO500MGINJECTION,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
6687,FEMZACTCAPS,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
6689,MVISTACAPS,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
6693,OROFERCAPS,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
7949,BAREILLY PHARMACEUTICALS PVT LTD,1,version_lag_already_caught,CANDIDATE FOR 1,COMPANY_ENTITY,GARBAGE:pattern_garbage
8008,BAREILLY PHARMACEUTICALS PVT LTD,1,version_lag_already_caught,CANDIDATE FOR 1,COMPANY_ENTITY,GARBAGE:pattern_garbage
8067,BAREILLY PHARMACEUTICALS PVT LTD,1,version_lag_already_caught,CANDIDATE FOR 1,COMPANY_ENTITY,GARBAGE:pattern_garbage
10396,ZZZZZZ 5015,1,zzzzzz_ocr_placeholder,CANDIDATE FOR 1,NO_VOWEL_OCR_NOISE,FALLBACK:AMBIGUOUS_NO_BRAND
10987,PHARMA NXT,1,division_company_header,CANDIDATE FOR 1,PHARMA_COMPANY_NAME,FALLBACK:AMBIGUOUS_NO_BRAND
11014,NUSURGE,1,division_company_header,CANDIDATE FOR 1,COMPANY_DIVISION_PREFIX,FALLBACK:AMBIGUOUS_NO_BRAND
11029,PHARMA,1,division_company_header,CANDIDATE FOR 1,PHARMA_COMPANY_NAME,FALLBACK:AMBIGUOUS_NO_BRAND
11088,NUCRON,1,division_company_header,CANDIDATE FOR 1,COMPANY_DIVISION_PREFIX,FALLBACK:AMBIGUOUS_NO_BRAND
11149,FLORINA,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
12099,LAXIHUSK GRANULES,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
14469,EMC IVA,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
14722,ROOTSOFT HARD WA,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
16992,NUCRON,1,division_company_header,CANDIDATE FOR 1,COMPANY_DIVISION_PREFIX,FALLBACK:AMBIGUOUS_NO_BRAND
17284,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17286,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17342,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17344,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17399,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
